Date/Time,CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 02/08  01:00:00,0.0,388235.5377815511,34482.66218456952,113563.69189339894,116735804.59028052,20121432.207960907,114394132.52547584,0.0,0.0
 02/08  02:00:00,0.0,430172.857222109,36868.52519916653,114037.08605319627,116714806.02100894,20124291.465135302,115427849.2503278,0.0,0.0
 02/08  03:00:00,0.0,465249.6103965881,38746.029314219326,113448.62060911073,115631270.84448072,20125580.503806267,115080123.01003008,0.0,0.0
 02/08  04:00:00,0.0,498705.23284424224,40445.74647234286,114253.53528368214,116110610.74166217,20128085.135638963,115948444.90429176,0.0,0.0
 02/08  05:00:00,0.0,532424.2816236622,42099.86095634015,115807.56171254738,117418926.68053015,20131293.276551828,117485420.09035903,0.0,0.0
 02/08  06:00:00,0.0,560170.888161845,43429.6825357575,113917.70900744187,115017412.98503889,20130733.245426137,115438663.45411256,0.0,0.0
 02/08  07:00:00,0.0,592966.8352848697,47901.97110816186,111272.2270008687,110889814.6999258,29429250.189625826,112488420.66128579,0.0,0.0
 02/08  08:00:00,0.0,577177.4933505607,44153.8502913208,99986.59465950873,99469957.70323041,491182767.6476159,100519953.01003069,0.0,0.0
 02/08  09:00:00,89464.48751417847,39356003.10632444,6776694.558674979,23361719.92064979,300083087.1631755,523571951.65466404,525469264.9324548,0.0,1565494.1744445378
 02/08  10:00:00,11917417.888736974,15381280.496804344,5896457.351161766,27470118.947241165,187686459.65761998,549138230.5600001,197798036.14751884,0.0,6341128.586608717
 02/08  11:00:00,46607850.56402539,6559354.151033106,7087297.399403486,42974996.801452175,170994289.6686148,568242991.4875407,150900533.96061707,0.0,21969285.48969769
 02/08  12:00:00,89091549.1403512,1079311.097586879,8952079.916542146,62152915.37744145,156436083.59431693,596187472.7456282,108265312.9162707,0.0,41253663.290792294
 02/08  13:00:00,90769894.07383952,543715.4449118497,8665043.28731788,63560141.37568441,148319296.40845,597307662.1146469,117326588.64120875,0.0,42658082.44115702
 02/08  14:00:00,114023639.60837561,456672.7950588617,10549184.81869161,74497720.50137721,140319791.99878582,610129382.7717136,122202619.10293421,0.0,53401170.43927952
 02/08  15:00:00,175321113.28700027,496798.84523147554,14302818.515938636,102871076.81125441,135754125.6697613,639861462.8061635,125944985.3639961,0.0,80822721.42012411
 02/08  16:00:00,190566593.1394441,594822.5402010961,15489852.157295056,110422686.70461223,143228027.2597921,634499463.2054818,137504543.99154592,0.0,88158403.06416273
 02/08  17:00:00,196194989.36950266,692909.9819245419,15794247.464124262,113091124.26158682,155330636.236852,644374076.2342453,152003799.14409631,0.0,90732844.8516349
 02/08  18:00:00,107110793.71029127,1294740.408971917,9634396.427274259,71987230.92323309,192041735.26410854,572660254.5531725,202195349.80516148,0.0,50821334.03460015
 02/08  19:00:00,69319395.51074876,2151627.313866354,8185878.505954146,53951156.673188366,194501236.35182762,555570572.3544817,211062350.80549586,0.0,32937679.526063725
 02/08  20:00:00,168823.55617952696,23852.9573232348,35116.471945678444,22263170.746446237,3423335.9234433,378341082.18345,3389404.2355803987,0.0,1624854.2299163048
 02/08  21:00:00,156213.00777917862,38949.666959694645,35179.11595979594,22305603.85549545,57792330.988519214,58795588.88099461,43466723.07057437,0.0,1617463.9945559152
 02/08  22:00:00,133889.36273844284,73921.7306002623,35302.9456292503,22325159.201431274,91019635.42357334,51913487.891640246,72635124.06130886,0.0,1606161.4009401577
 02/08  23:00:00,101390.21195241381,120063.21614384005,34111.98320879738,22335335.40331892,118742054.21692799,49527563.15843322,101012081.61016949,0.0,1590447.8276969823
 02/08  24:00:00,63543.89692666652,135754.1621975706,29439.40556178263,22293983.09416124,98516011.01371512,44691718.32628015,88370158.86538057,0.0,1567331.8806496179
 02/09  01:00:00,32504.450133220475,148239.98933815904,25445.253718342698,22257712.12590713,80766963.67559731,42256543.233508416,75226481.09048155,0.0,1546774.2355272435
 02/09  02:00:00,15272.150170711628,181472.47360356766,25539.61878559392,22245704.04320406,82899786.7522363,42244629.5158726,79104905.65911838,0.0,1531935.406911138
 02/09  03:00:00,2846.7654996731317,208679.54094428814,24021.78371056191,7466344.1824733345,83255358.24178848,27463751.820066832,80651494.84785171,0.0,507683.0027725103
 02/09  04:00:00,0.0,248494.7372839576,25782.139573673645,89929.60554775933,92746156.36726126,20089097.599004373,90477520.21481514,0.0,0.0
 02/09  05:00:00,0.0,298196.02924390434,29151.83956183888,101757.07904897035,105010710.39772478,20104294.772493746,102991123.3071801,0.0,0.0
 02/09  06:00:00,0.0,663318.7284454408,84561.4355046006,126992.40475760172,117502940.1300035,20184939.69414514,127172769.00746983,0.0,0.0
 02/09  07:00:00,0.0,1108821.438538386,144340.30749978957,140788.79453032254,116054539.9372054,29555205.093546905,134305392.3587675,0.0,0.0
 02/09  08:00:00,0.0,1032935.2469309875,125896.83887565257,151866.39568517887,133327920.93570708,491316390.43722594,140059289.31453702,0.0,0.0
 02/09  09:00:00,1299775.0101666853,50740125.9455239,7422764.467211838,24081935.75022988,356261639.4222134,524938237.3927809,562177522.166052,0.0,2123951.6869414663
 02/09  10:00:00,19772968.701358855,16975337.778445363,6353978.7731172405,31022281.504666824,233898336.60918885,553147914.5393811,233897091.72219926,0.0,9818313.561639996
 02/09  11:00:00,62519365.74794257,3105758.838427628,7633893.569807203,50002218.25658926,201667252.83031747,575816809.1130816,148737647.17843083,0.0,29026939.089901812
 02/09  12:00:00,103449690.09151089,652591.6027707304,10052526.752732348,68991928.28823495,174144226.74756944,604126932.492612,135568223.78181696,0.0,48032140.82452493
 02/09  13:00:00,114234765.30694312,214750.65851784812,10457313.32377662,74559704.61415173,157301034.9190168,610099495.3895731,130079411.29645532,0.0,53491293.486696
 02/09  14:00:00,156956597.29026425,90821.15548625347,13483581.593481366,94785977.27716905,148042596.79454216,633352036.3222951,129855798.20581886,0.0,73072132.11104044
 02/09  15:00:00,212405272.25575924,56052.62094948025,17516762.741940305,118919676.20597884,146424456.77963287,659124006.4268897,134430528.229665,0.0,96461987.10986212
 02/09  16:00:00,230655084.54325908,34696.97685000465,18557029.37596052,120797669.35066684,153843698.8155796,647941623.0702019,145405878.62514275,0.0,98260152.54389778
 02/09  17:00:00,221466445.08946487,148691.78610339665,17855705.15882076,120496861.99602808,167727996.29235148,653841271.6633829,167055092.7082906,0.0,98049097.29594737
 02/09  18:00:00,119900067.64023128,566618.0949211223,10357332.616464203,78051218.36639515,209297763.65801832,579447178.1855242,216476383.17043227,0.0,56776096.01673335
 02/09  19:00:00,77459779.6351392,969025.0504520483,8577379.720878236,57623380.295934804,218381070.3381331,559634297.1921523,229259763.50503314,0.0,36591916.55669385
 02/09  20:00:00,407132.5007006698,9863.49418739619,64348.462130944514,22396223.7464281,25849834.898438558,378503367.1736171,21547467.53574775,0.0,1737945.681838266
 02/09  21:00:00,357956.21353772015,32292.19219976378,62011.25197572693,22426876.07191027,85461815.04164165,58943693.23342536,72544494.85686646,0.0,1713806.1256039804
 02/09  22:00:00,302895.4269461948,57265.86480420486,58053.75717138231,22414671.269027453,98800151.16377646,52025750.77077856,87548052.47634351,0.0,1688991.289280286
 02/09  23:00:00,247226.87147387676,86356.34248757496,53337.28240657067,22388467.063331306,105386631.36165987,49599920.117643386,96712665.97488368,0.0,1656322.7295475726
 02/09  24:00:00,191308.44664024244,115003.74246952508,46094.14638200755,22362198.246333256,109582471.32746457,44776588.21927239,103195494.94355512,0.0,1625835.6734940503
 02/10  01:00:00,151369.81288102397,150350.91770920446,43819.10493763437,22346452.917736657,114703484.94355571,42363657.87655722,110373263.60636637,0.0,1604683.5560407683
 02/10  02:00:00,113920.21606800359,210820.84241758045,45950.26586411355,22337945.76202811,119942737.52726582,42357281.881775156,117669405.5243704,0.0,1590046.191552918
 02/10  03:00:00,75632.6111677195,267610.5006486095,44676.06432921108,22318102.781428702,125603326.59852076,42336164.69964084,124399143.29098958,0.0,1564173.1213176483
 02/10  04:00:00,38529.01450511246,324724.2107423816,40327.6876695887,22305511.31322238,132843969.36556588,42319224.85477491,132250166.1274845,0.0,1544219.107914974
 02/10  05:00:00,17209.412223186933,485535.9753440722,60965.06533984092,22300012.65690974,139887648.9211136,42334363.57613252,144613243.9847889,0.0,1526193.4819664785
 02/10  06:00:00,0.0,1426903.9145609797,183620.11422135786,190831.4688101899,141397570.01802084,20347837.43691449,183416418.5500759,0.0,0.0
 02/10  07:00:00,0.0,2315442.7677756245,291046.1152649752,222439.09150349066,137248435.75523332,29783561.198285256,181723544.47619113,0.0,0.0
 02/10  08:00:00,0.0,596427.2680655671,67171.4415020204,125639.59334151905,120615679.58628845,491231438.2375087,98833000.82436948,0.0,0.0
 02/10  09:00:00,1736876.359797086,43602831.175972566,7019466.958415631,24136042.434464004,314334044.9703626,524589046.5682188,489590645.8954541,0.0,2303225.07411752
 02/10  10:00:00,20133784.831364576,17668459.2556969,6406321.3237834275,31262077.313073248,198105617.64339006,553440052.8984538,209993015.59489778,0.0,10086472.022653285
 02/10  11:00:00,52752334.0673839,10036143.768155769,7731954.651070266,45757700.37244235,176095676.86247808,571670352.3101977,171048500.0345999,0.0,24669673.188370362
 02/10  12:00:00,93391090.50092074,3635154.5575358244,9006443.346618863,64203522.56083112,157203769.64637345,598292443.3590949,130675518.82309139,0.0,43175889.92855427
 02/10  13:00:00,95719793.15075162,932421.9263876614,8826948.808803035,66158384.211047664,147072765.57308456,600067810.4714954,106762937.60185225,0.0,45167406.572193325
 02/10  14:00:00,126110110.34621766,636454.3472391642,10411659.313054148,80442083.03249213,139750552.4803622,615936219.7971911,114862851.23858087,0.0,58901591.519368336
 02/10  15:00:00,188583552.25958785,568549.2198881628,14446682.493835466,109350616.48241895,135035847.43549734,646484866.455225,119943697.33356932,0.0,86799224.9635398
 02/10  16:00:00,206696191.1801257,610823.4496364366,15415189.24407859,118074774.48526827,136276742.53659102,642076888.0729215,127089246.8425655,0.0,95208831.87441093
 02/10  17:00:00,219187387.21803793,849104.3424759861,16134559.422662765,121258418.39837357,139629659.32864386,652881682.3295704,141113255.39866364,0.0,98260152.54389778
 02/10  18:00:00,128598472.92609732,1551956.7824303475,10975075.067954555,82323969.6762532,173723933.02138823,584337671.9468727,184681230.85315004,0.0,60593473.178408675
 02/10  19:00:00,92179425.9993892,1863281.995671775,9423952.006676842,64933653.85223265,178037241.34353235,567791143.0342486,188832951.59375477,0.0,43833218.61429883
 02/10  20:00:00,482338.8032294861,0.0,69203.06980246943,22407102.446645938,3402935.1885734433,378519100.48150647,2350004.0059166322,0.0,1769903.199803221
 02/10  21:00:00,440529.48285777034,0.0,64973.56242650701,22416576.427916937,37230036.13271954,58936355.899882816,26326786.389460318,0.0,1748616.7434794055
 02/10  22:00:00,397604.1895388416,0.0,60519.5818877218,22408239.31103641,49503863.29164414,52021784.637503855,36660092.60076791,0.0,1729161.4321296785
 02/10  23:00:00,352366.67118931544,5710.522924238481,57221.52814086069,22389062.070386596,58034666.30229633,49604399.37043296,45407489.00490014,0.0,1701882.6120168306
 02/10  24:00:00,305836.4378437138,27066.685693478208,55557.72787464445,22379755.473694034,64486708.77570371,44803609.02812581,53355930.437170126,0.0,1685857.9336741609
 02/11  01:00:00,259395.67073075203,48900.377426507686,52061.311204778285,22364809.567771345,69777623.5582505,42390256.73285906,60164510.53940155,0.0,1665625.4237719763
 02/11  02:00:00,211977.33635746248,70411.80199155654,46916.885559599315,22340988.596030384,73489443.61262071,42361291.33547292,65510895.179637566,0.0,1638050.3752239111
 02/11  03:00:00,171272.46072730853,90832.65274923434,41004.599005143005,22319570.694186643,77462734.3997793,42333961.14707472,70876563.63471512,0.0,1612711.1462006199
 02/11  04:00:00,141556.7587081168,113127.06127012242,38849.19298029672,22308915.957293235,82230735.5454566,42321151.00415647,76819931.53976026,0.0,1597399.8578398102
 02/11  05:00:00,109950.72614396384,132819.72027094336,35918.70869541807,22297661.9639872,84760847.5600778,42306966.52656556,80520856.7985052,0.0,1583582.7704407324
