Date/Time,CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 12/20  07:00:00,0.0,4157933.5772943627,424213.52595146873,261669.17073607942,127403557.90824482,29955958.68820434,157277166.46111965,0.0,0.0
 12/20  08:00:00,0.0,834203.3087566134,61376.043448550285,126100.59406545002,122959942.7204738,491226103.8401792,79493036.97802964,0.0,0.0
 12/20  09:00:00,0.0,135793751.77769682,59375029.60290262,1567221.376804359,332142155.70928055,554375788.1550465,569941784.4474202,0.0,0.0
 12/20  10:00:00,0.0,68188403.30168341,57095235.87132861,625237.4908004135,216117896.52497685,573492127.6237262,261527813.78827846,0.0,0.0
 12/20  11:00:00,2952.8297025514858,38506255.8156766,56846755.95126603,4376932.411782909,191325257.69563642,579404385.6497343,224564187.29588473,0.0,265363.34527667705
 12/20  12:00:00,48601.39574209467,16269553.979279563,56404867.45403312,23612879.996000595,164661314.35159758,605100224.9016787,159901646.11409283,0.0,1593561.3871377828
 12/20  13:00:00,68491.0623895564,5395276.323660734,56006662.23964563,23486877.457628936,149184551.45817208,604576017.1489196,116209102.33435449,0.0,1595411.9457070034
 12/20  14:00:00,75760.73694014493,1555562.555257799,55901509.76705506,23453023.601834986,145262010.73173854,604437010.820535,115356709.22224468,0.0,1596699.7350137858
 12/20  15:00:00,114335.65697532632,1779748.9218577445,56039059.7294655,23490244.28956652,144942807.55095646,602216871.4980028,147845241.09621072,0.0,1600051.0370023735
 12/20  16:00:00,141922.7572606153,3722877.327098148,56254455.0348013,23555259.956747957,148588703.24658233,588396639.3351241,177132987.27533376,0.0,1605999.470506189
 12/20  17:00:00,162455.6684336914,4840327.266264955,56359206.2008596,23582280.383204747,148629360.6288978,595430191.0925988,174357859.25700265,0.0,1605738.3768701286
 12/20  18:00:00,110484.29492972503,5253844.680158594,56389156.83394172,23615224.976270422,175927233.31889752,571043009.0128773,184141402.0778376,0.0,1602143.779941136
 12/20  19:00:00,60983.862922479006,5650500.415852509,56386540.72194989,23608772.066721287,175056611.61119127,573428849.9640107,180972014.05714065,0.0,1596695.6051704383
 12/20  20:00:00,0.0,111764.24877820202,12084.009569073178,3084.415905712179,0.0,356057963.39053285,1691750.2039241777,0.0,0.0
