Date/Time,Baseboard:PlantLoopHeatingDemand [J](Hourly),HeatingCoils:PlantLoopHeatingDemand [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 02/15  09:00:00,326454891.4254536,31841329.36343046,20344695.75122061,31841329.36343046,11316588.44509511,32277376.696766343,326454891.4254536,543661226.8239757,501001447.99979085,0.0,11206015.705122286
 02/15  10:00:00,210466188.07285625,9730560.349358236,104096359.3260233,9730560.349358236,15165660.697426332,68268473.58847868,210466188.07285625,595830570.62577,194847282.16788465,0.0,47600130.92073014
 02/15  11:00:00,184840483.0488733,3208533.696469251,170399956.56073615,3208533.696469251,18391920.420481008,100021549.35551351,184840483.0488733,633251069.7146152,152281747.09690192,0.0,78557498.50938544
 02/15  12:00:00,160874100.3190034,984239.5223124762,233964146.33961442,984239.5223124762,22313440.647930715,117040985.65897176,160874100.3190034,672596773.3520821,129720696.52233607,0.0,94979705.04108195
 02/15  13:00:00,146525979.2446187,555143.3835525231,235532563.73715216,555143.3835525231,22105088.76692501,117267678.34450717,146525979.2446187,672615114.1566117,123911558.91878234,0.0,95015060.43327327
 02/15  14:00:00,137415226.68070108,479659.1708526253,262114421.70817587,479659.1708526253,24059657.34669137,117368165.71077515,137415226.68070108,674670170.1026461,124948834.17350778,0.0,95015060.43327327
 02/15  15:00:00,135807960.73760056,525644.2062976726,333864527.22811127,525644.2062976726,28955691.742451783,117530819.21439789,135807960.73760056,677333948.0293554,130989241.21747634,0.0,95015060.43327327
 02/15  16:00:00,143523470.6904822,467659.50038950366,363952788.8444383,467659.50038950366,31335932.13294508,119244328.75765204,143523470.6904822,655791967.3124394,138895737.58756107,0.0,96595990.27115278
 02/15  17:00:00,160120847.303161,926137.5502974887,343189162.5102718,926137.5502974887,29755449.207129497,117498871.3755036,160120847.303161,670870774.1110345,163369828.46050942,0.0,95075547.22630715
 02/15  18:00:00,202423402.01176146,1709156.9108319047,228136163.58953035,1709156.9108319047,22018896.538214006,117104001.7305054,202423402.01176146,636795249.9781594,210550475.10227984,0.0,95015060.43327327
 02/15  19:00:00,210095862.78791836,3472084.9737528972,166519069.11791512,3472084.9737528972,19508779.904484633,98869131.14751066,210095862.78791836,618445172.7341095,229324281.36036858,0.0,77429448.78302287
 02/15  20:00:00,13413344.023396652,311891.80648214166,298773.8694653058,311891.80648214166,79702.84836226805,21647441.61332699,13413344.023396652,389272906.3683467,15270636.635058295,0.0,1675296.1614138363
 02/15  21:00:00,64369582.220272526,365136.62562206626,256374.19465878204,365136.62562206626,78440.89037480211,21665960.874534138,64369582.220272526,69702174.61604771,53439373.344595134,0.0,1646732.5580660799
 02/15  22:00:00,71686348.3328021,422662.1507979563,213906.1333363954,422662.1507979563,76888.78166507604,21648043.35643668,71686348.3328021,51277957.88268148,61871120.62888883,0.0,1621431.2349193464
 02/15  23:00:00,76754254.54571459,476985.70464222046,172681.90193851062,476985.70464222046,74549.65050289611,21628792.85262961,76754254.54571459,48861458.27503802,68575144.09741865,0.0,1596941.875538265
 02/15  24:00:00,80148257.02982518,525418.204707409,130701.66114920127,525418.204707409,70087.37177896443,21596079.151580725,80148257.02982518,44034462.34991683,73727944.14365137,0.0,1560568.6827312405
 02/16  01:00:00,84345522.14582328,578358.2622927027,99257.92826852924,578358.2622927027,69795.43052884149,21582052.617939234,84345522.14582328,41625233.90235101,79600336.96454546,0.0,1541737.6117025758
 02/16  02:00:00,88051732.92044789,632374.9444603584,70620.17367306004,632374.9444603584,69598.75506920887,21574398.15153561,88051732.92044789,41617382.76048775,84626844.17744276,0.0,1529911.1393787584
 02/16  03:00:00,90765767.54424898,684911.5295003236,40099.81344256813,684911.5295003236,67516.01695583278,21554829.752185564,90765767.54424898,41595731.62302433,88454413.30864531,0.0,1507186.195553587
 02/16  04:00:00,93938835.55363736,741486.0305310655,14532.254859394936,741486.0305310655,65692.48335497182,21530131.876808997,93938835.55363736,41569210.214046896,92640274.11727716,0.0,1478682.252801258
 02/16  05:00:00,98342149.99862108,808552.4609314962,1263.090373962986,808552.4609314962,67562.31299539108,3675811.997037487,98342149.99862108,23716760.163915813,97898672.49730131,0.0,246130.45787599203
 02/16  06:00:00,103766847.51497443,886340.8309166238,0.0,886340.8309166238,74028.01331622884,110645.18749636791,103766847.51497443,20158059.054695528,103981359.10180902,0.0,0.0
 02/16  07:00:00,110374222.4350147,974220.6826255857,0.0,974220.6826255857,80387.79398145845,117976.18623187748,110374222.4350147,40971406.91332955,110828166.82807341,0.0,0.0
 02/16  08:00:00,107717759.67604853,1018207.434291564,0.0,1018207.434291564,83368.39712954343,116184.68335882651,107717759.67604853,497871904.7899284,108926350.36911303,0.0,0.0
 02/16  09:00:00,306602799.35744745,39341330.50922008,28933792.252623532,39341330.50922008,12164961.27198478,35794681.25539936,306602799.35744745,548026904.2094984,508033491.8076354,0.0,14677726.102717346
 02/16  10:00:00,190554930.57255495,17069497.98061633,106318171.37092929,17069497.98061633,16078917.786681283,69741315.89401802,190554930.57255495,598216670.0205641,203104872.8313091,0.0,48897242.74930586
 02/16  11:00:00,169071087.7053955,9102194.851590969,180735699.31137607,9102194.851590969,19572848.848748527,104754733.87508924,169071087.7053955,639165182.6624587,164115490.99445617,0.0,82886797.20994861
 02/16  12:00:00,148116906.21916172,2413184.600574145,249718159.8060376,2413184.600574145,22508050.00068995,117428903.88511083,148116906.21916172,673179300.9309803,111019786.45275983,0.0,95015060.43327327
 02/16  13:00:00,142289363.07915875,1338123.511943647,233305306.3479803,1338123.511943647,21801863.187579904,117376820.41952507,142289363.07915875,672421030.6522847,111840790.72748141,0.0,95015060.43327327
 02/16  14:00:00,141951027.16463232,1137235.2903724117,259029659.43343145,1137235.2903724117,23360439.674958818,117548663.9394639,141951027.16463232,674151450.6596025,122984090.55555135,0.0,95015060.43327327
 02/16  15:00:00,142779538.40356073,1160845.4410745234,330868996.12547255,1160845.4410745234,28198453.255965922,117807968.96306497,142779538.40356073,676853859.2915366,132848114.16686745,0.0,95015060.43327327
 02/16  16:00:00,149215412.1322685,1400290.4510526531,350138824.45310956,1400290.4510526531,29807266.24109462,118310667.56082767,149215412.1322685,653329640.2237647,149108085.12030426,0.0,95462000.6527842
 02/16  17:00:00,156500076.7164402,2006176.5129473428,358794627.000656,2006176.5129473428,30568993.090803318,119051322.20027353,156500076.7164402,673236768.8194782,168730998.66320655,0.0,96190019.78810772
 02/16  18:00:00,195848791.78200084,4119643.343073702,241149182.7054056,4119643.343073702,22982248.61100452,117380826.97063473,195848791.78200084,638035427.2910792,225012135.97330788,0.0,95015060.43327327
 02/16  19:00:00,205464165.95395577,6401637.449111192,174168922.566994,6401637.449111192,20195786.32355628,102609983.12171,205464165.95395577,622873031.1273805,226462751.966347,0.0,80911277.30132231
 02/16  20:00:00,12374819.154623315,259898.4474131744,389379.95509620226,259898.4474131744,85768.41051804354,21693675.693680454,12374819.154623315,389325206.01085603,10760692.335385934,0.0,1723186.224798697
 02/16  21:00:00,50941555.40275971,298095.0801393145,337759.43010448985,298095.0801393145,83127.46963053441,21696841.04803733,50941555.40275971,69737741.36880663,34249480.95288966,0.0,1690563.0540901632
 02/16  22:00:00,44536942.6859642,330830.6467768614,294939.19249273743,330830.6467768614,80801.99175705071,21666225.78832727,44536942.6859642,51300053.52466404,33023737.080538593,0.0,1665343.7453842037
 02/16  23:00:00,35375117.3716257,352008.15016180224,257685.3176729965,352008.15016180224,78016.74997398331,21633344.00232837,35375117.3716257,48869476.52420785,28699409.21887593,0.0,1640541.374801713
 02/16  24:00:00,32216181.09193077,371186.14099566714,224007.7163097652,371186.14099566714,75237.49036861816,21611121.54461832,32216181.09193077,44054654.86154407,27513940.922245212,0.0,1620960.6572094194
 02/17  01:00:00,33834846.7927649,391956.9036173426,192652.45625577605,391956.9036173426,72561.30829400866,21587390.825808637,33834846.7927649,41633337.98798558,29389626.115610577,0.0,1595509.6102566284
 02/17  02:00:00,35850327.77638002,413818.7795268346,161818.8213675054,413818.7795268346,69674.71583185293,21572949.84514772,35850327.77638002,41616010.414862506,31570822.505996965,0.0,1578979.513303787
 02/17  03:00:00,37970121.397764884,436907.23539914156,130284.23205085174,436907.23539914156,65595.21127732353,21553276.650668953,37970121.397764884,41592257.71582921,33876102.29908248,0.0,1557116.2575816032
 02/17  04:00:00,39160595.32375766,463550.4342519627,104688.13728962222,463550.4342519627,63487.518867462684,21542548.57342675,39160595.32375766,41579421.94617715,35758549.61379777,0.0,1544738.2030757577
 02/17  05:00:00,38043211.65505987,491334.671663319,84618.10221163317,491334.671663319,63653.75112173707,21524434.21143118,38043211.65505987,41561473.816435836,35886561.9007235,0.0,1527032.2762966494
 02/17  06:00:00,38502742.58662938,521136.11142735183,63793.23763254183,521136.11142735183,62940.75663023335,21517761.91915313,38502742.58662938,41554088.52966629,36928295.687014684,0.0,1519445.3163566722
 02/17  07:00:00,48802867.271953255,565160.5698192343,42406.97061220536,565160.5698192343,62240.35104236263,21515640.240893707,48802867.271953255,62350923.52505228,45448431.019407585,0.0,1507337.6990763622
 02/17  08:00:00,58832576.17320662,597171.5070188682,31614.62777254272,597171.5070188682,61643.87733609914,21516911.78660578,58832576.17320662,519250907.37338185,54104980.8361533,0.0,1499103.7607653083
 02/17  09:00:00,269939566.7292138,20544745.81713193,75307886.31949046,20544745.81713193,14247769.119481908,56231735.63992449,269939566.7292138,570546766.4415207,404006362.2301992,0.0,35231959.89012112
 02/17  10:00:00,172909426.8743575,2037988.7020196205,234737890.3511446,2037988.7020196205,24177547.18795088,114631051.19593048,172909426.8743575,651205034.7237463,121181915.71006797,0.0,92712776.06016353
 02/17  11:00:00,153560225.21745214,401748.4504441502,316786544.38439155,401748.4504441502,28658810.098137267,117238479.69946548,153560225.21745214,660734889.7362236,114235118.55066293,0.0,95015060.43327327
 02/17  12:00:00,136309566.670354,307534.91478461225,384063409.3551419,307534.91478461225,32475678.658464734,121137577.59472728,136309566.670354,686855603.2983718,114349529.7730408,0.0,98355872.34059209
 02/17  13:00:00,123824063.99934188,214299.84702340365,388900836.6639667,214299.84702340365,33619639.93469717,121624640.7829515,123824063.99934188,688486627.7628282,110060185.6369596,0.0,98790657.93540592
 02/17  14:00:00,115070928.74578199,132863.18551726604,421168603.62585676,132863.18551726604,37747583.759686075,124673282.27518414,115070928.74578199,695663213.0800498,105021819.03717178,0.0,101609640.10932192
 02/17  15:00:00,113596239.45375505,97980.30990218616,483484750.3582162,97980.30990218616,42950922.68311527,130893322.66298138,113596239.45375505,704691682.4186023,106091526.47245237,0.0,107382760.02500758
 02/17  16:00:00,124425824.33827958,83231.24749629691,489370031.0190977,83231.24749629691,41618664.26300124,131710565.74173778,124425824.33827958,678540936.4265814,118282507.16799119,0.0,108061996.94491011
 02/17  17:00:00,144218197.87468386,83531.87049142677,457994846.320045,83531.87049142677,39016220.89322939,128443359.34946387,144218197.87468386,691076033.7710946,139261823.09206688,0.0,105068571.205903
 02/17  18:00:00,191158470.5863348,208615.7251169344,323260635.6351918,208615.7251169344,28756473.122443173,117700885.01699595,191158470.5863348,644129709.8488792,188124261.29557964,0.0,95181739.24219826
 02/17  19:00:00,202735310.27474532,1197516.273502945,241900333.6638099,1197516.273502945,24327184.209492743,117199154.29569964,202735310.27474532,641593600.1873066,202554480.69157612,0.0,95015060.43327327
 02/17  20:00:00,20688529.27375793,108221.35700583848,880438.9903373547,108221.35700583848,122487.2935870536,21932857.063463792,20688529.27375793,389601106.26370835,20963179.04909948,0.0,1955351.6213072736
 02/17  21:00:00,66401422.61952145,157896.90462278255,752739.7420653387,157896.90462278255,111558.42373967764,21880193.52653231,66401422.61952145,69949524.80141075,62627309.76594235,0.0,1862729.0813793866
 02/17  22:00:00,83896193.12844223,230949.85959223093,682036.7977175768,230949.85959223093,112072.29656376432,21859387.44306481,83896193.12844223,51524485.484208286,80393695.40750523,0.0,1824503.981569815
 02/17  23:00:00,100803377.09423289,308992.06036473386,615586.0830827707,308992.06036473386,111463.09280188524,21841381.911728192,100803377.09423289,49110960.776435584,97616866.48182787,0.0,1789930.2100705283
 02/17  24:00:00,114872265.633219,386734.2301523409,546214.9010896095,386734.2301523409,109721.4026663373,21825362.462665882,114872265.633219,44303379.69188935,112280539.45996715,0.0,1760071.223908869
 02/18  01:00:00,126223975.24083629,463165.99130490795,476612.6171715878,463165.99130490795,107289.46177436868,21804323.555462986,126223975.24083629,41884998.87112028,124340808.77870636,0.0,1727751.181978416
 02/18  02:00:00,133067595.36017232,534081.2577321043,408297.61863201373,534081.2577321043,104219.0389161326,21774877.186072614,133067595.36017232,41852482.07887168,131981875.87297973,0.0,1691239.1987077785
 02/18  03:00:00,129668112.59507146,587963.6471928138,343108.268144078,587963.6471928138,100194.36777046796,21736638.317600112,129668112.59507146,41810218.53925351,129632744.1086416,0.0,1655514.9551004323
 02/18  04:00:00,115412351.99911807,617449.4139217249,280702.0549978771,617449.4139217249,94836.71062560481,21705340.113440998,115412351.99911807,41773562.67794953,116613448.76434177,0.0,1636897.856100467
 02/18  05:00:00,100511259.0861066,633655.9962344915,226006.26042674622,633655.9962344915,89222.42870779822,21666181.376375575,100511259.0861066,41728789.6589663,102603637.26633017,0.0,1611115.6940627156
 02/18  06:00:00,92205606.75270495,648741.4906611312,175711.90699026658,648741.4906611312,83409.56281972097,21625156.485816237,92205606.75270495,41681951.90251888,94546485.34805956,0.0,1577480.7547957147
 02/18  07:00:00,95691721.48241314,678030.1582957937,127569.6297132903,678030.1582957937,76798.47492428112,21599393.10512484,95691721.48241314,41649577.43393204,97483809.76230055,0.0,1548134.5103379455
 02/18  08:00:00,107144563.7535328,734958.2525747155,93525.98184536326,734958.2525747155,76961.29232715144,21590825.121495344,107144563.7535328,41641172.267705426,108325755.69221637,0.0,1528092.1328522102
 02/18  09:00:00,114875628.14880496,804066.1075449361,56177.16297430565,804066.1075449361,75224.7242097779,21583046.34692911,114875628.14880496,41631656.92502182,115820801.48884006,0.0,1512344.8248638688
 02/18  10:00:00,117204698.3364522,877061.0194513395,26186.0477294288,877061.0194513395,74352.14628017266,21561285.30273899,117204698.3364522,41609023.302902095,118703830.66450287,0.0,1487266.2703608053
